Agent_Age,Agent_Rating,Traffic,Vehicle,Delivery_Duration,Weather_Fog,Weather_Sandstorms,Weather_Stormy,Weather_Sunny,Weather_Windy,Area_Other,Area_Semi-Urban,Area_Urban,Category_Books,Category_Clothing,Category_Cosmetics,Category_Electronics,Category_Grocery,Category_Home,Category_Jewelry,Category_Kitchen,Category_Outdoors,Category_Pet Supplies,Category_Shoes,Category_Skincare,Category_Snacks,Category_Sports,Category_Toys,distance_km,hour,is_peak,dist_x_traffic,hour_sin,distance_x_peak,peak_weight
37,4.9,2,motorcycle ,120,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0251492856775037,11,0,6.0502985713550075,0.258819045102521,0.0,0
34,4.5,3,scooter ,165,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.183529728733618,19,1,60.55058918620085,-0.9659258262890684,20.183529728733618,2
23,4.4,0,motorcycle ,130,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5527578022548725,8,0,0.0,0.8660254037844387,0.0,0
38,4.7,1,motorcycle ,105,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.790401360105752,18,1,7.790401360105752,-1.0,7.790401360105752,2
32,4.6,2,scooter ,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2101379656240985,13,0,12.420275931248197,-0.2588190451025208,0.0,1
22,4.8,3,motorcycle ,130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.610365144357058,21,1,13.831095433071173,-0.7071067811865477,4.610365144357058,2
33,4.7,3,scooter ,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.600361127912656,19,1,49.80108338373797,-0.9659258262890684,16.600361127912656,2
35,4.6,1,motorcycle ,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.20525323529291,17,1,20.20525323529291,-0.9659258262890683,20.20525323529291,0
22,4.8,3,motorcycle ,170,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.975520086221444,20,1,59.92656025866433,-0.8660254037844386,19.975520086221444,2
36,4.2,3,motorcycle ,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.280582064621875,21,1,30.841746193865625,-0.7071067811865477,10.280582064621875,2
21,4.7,2,motorcycle ,115,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.242318682701243,14,0,12.484637365402486,-0.4999999999999998,0.0,1
